"restaurant_name","restaurant_description","rating","price_range","restaurant_location"
"The Gilded Spoon","An upscale dining experience focusing on modern American cuisine with a seasonal menu.","4.5 out of 5 stars","$$$$","Beverly Hills, CA"
"Mamma Mia's Pizzeria","Authentic Neapolitan pizzas baked in a wood-fired oven, with classic Italian appetizers.","4.0 out of 5 stars","$$","Santa Monica, CA"
"The Spicy Dragon","A vibrant spot serving traditional Szechuan dishes with a modern twist and a wide selection of teas.","4.2 out of 5 stars","$$$","Los Angeles, CA"
"Coastal Catch Seafood","Freshly caught seafood prepared simply, offering stunning ocean views and a relaxed atmosphere.","4.7 out of 5 stars","$$$$","Malibu, CA"
"The Urban Garden Bistro","Farm-to-table vegetarian and vegan dishes with a focus on sustainable, locally sourced ingredients.","4.3 out of 5 stars","$$","Pasadena, CA"
"El Fuego Taqueria","Casual eatery known for its street-style tacos, flavorful burritos, and homemade salsas.","3.8 out of 5 stars","$","Long Beach, CA"
"Sakura Sushi & Grill","Exquisite sushi rolls, sashimi, and Japanese grilled specialties prepared by master chefs.","4.6 out of 5 stars","$$$","Hollywood, CA"
"The Old Oak Tavern","A cozy pub offering classic American comfort food, local craft beers, and live music on weekends.","3.9 out of 5 stars","$$","Studio City, CA"
"Bombay Spice House","Aromatic Indian cuisine from various regions, featuring rich curries, tandoori specialties, and fresh naan.","4.1 out of 5 stars","$$","Artesia, CA"
"Le Petite Paris","An authentic French bistro serving classic dishes like coq au vin and steak frites in a romantic setting.","4.4 out of 5 stars","$$$$","West Hollywood, CA"
"The Waffle House Diner","Quintessential American diner experience with all-day breakfast, classic sandwiches, and bottomless coffee.","3.5 out of 5 stars","$","Downey, CA"
"Green Leaf Cafe","Healthy and fresh options including salads, wraps, smoothies, and organic coffee.","4.0 out of 5 stars","$","Culver City, CA"
"The Stone Hearth Bakery & Cafe","Artisanal breads, pastries, light lunches, and gourmet coffee served in a rustic, inviting space.","4.2 out of 5 stars","$$","Silver Lake, CA"
"BBQ Pit Masters","Slow-smoked ribs, brisket, pulled pork, and all the classic Southern sides.","4.5 out of 5 stars","$$","Orange, CA"
"Ancient Grains Mediterranean","Healthy and flavorful Mediterranean dishes, including falafel, gyros, and fresh hummus.","3.9 out of 5 stars","$","Glendale, CA"
"The Cellar Door Steakhouse","Premium cuts of steak, an extensive wine list, and a sophisticated atmosphere perfect for special occasions.","4.8 out of 5 stars","$$$$","Anaheim, CA"
"Noodle Nirvana","A diverse menu of Asian noodle soups, stir-fries, and small plates from various culinary traditions.","4.0 out of 5 stars","$$","Monterey Park, CA"
"Sweet Surrender Desserts","A charming dessert cafe offering handcrafted cakes, pastries, ice cream, and specialty coffees.","4.3 out of 5 stars","$","Burbank, CA"
"The Rusty Anchor Pub","A lively waterfront pub with classic bar food, seafood specials, and a wide selection of local beers.","3.7 out of 5 stars","$$","Marina del Rey, CA"
"Mama Rosa's Kitchen","Homestyle Italian-American comfort food, known for its hearty pasta dishes and generous portions.","4.1 out of 5 stars","$$","Torrance, CA"
"Golden Dragon Dim Sum","Authentic Cantonese dim sum served daily, with a bustling atmosphere and traditional tea service.","4.2 out of 5 stars","$$","San Gabriel, CA"
"The Groggy Bean Coffee Roasters","An artisan coffee shop that roasts its own beans, offering specialty coffee drinks and light breakfast fare.","4.6 out of 5 stars","$","Echo Park, CA"
"The Global Table","An eclectic menu featuring dishes inspired by cuisines from around the world, perfect for adventurous eaters.","3.8 out of 5 stars","$$$","Koreatown, CA"
"Backwoods Smokehouse","Rustic, slow-smoked BBQ with a focus on regional American styles and a cozy, cabin-like ambiance.","4.4 out of 5 stars","$$","Fullerton, CA"
"The Lighthouse Bistro","A modern American bistro with a focus on seasonal ingredients and an elegant, intimate setting.","4.7 out of 5 stars","$$$","Manhattan Beach, CA"